Evento 	Fecha 	Hora 	Lat 	Long 	Prof.					
(km) 	Int 	Mag 	Tipo Mag 	LocalizaciÛn 	info					
14250	27/06/1994	1:57:05	28.9367	-16.25	15		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
14313	22/07/1994	12:59:52	27.9467	-16.1883	10		2.5	2	ATL¡NTICO-CANARIAS 	[+] info
14315	23/07/1994	17:27:38	27.945	-16.13	18		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
14318	24/07/1994	0:56:47	27.9917	-16.2867	10		1.9	2	ATL¡NTICO-CANARIAS 	[+] info
14420	19/08/1994	19:42:54	28.2283	-16.1633	36		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
14530	09/09/1994	22:55:54	28.1533	-16.2417	-999		2.1	2	ATL¡NTICO-CANARIAS 	[+] info
14548	17/09/1994	12:03:13	28.28	-16.2817	9		2	2	ATL¡NTICO-CANARIAS 	[+] info
14599	11/10/1994	5:39:32	28.1367	-16.2083	-999		1.9	2	ATL¡NTICO-CANARIAS 	[+] info
14612	15/10/1994	17:33:25	28.1233	-16.2117	32		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
14679	14/11/1994	22:19:28	28.2683	-16.2233	4		1.9	2	ATL¡NTICO-CANARIAS 	[+] info
14901	06/02/1995	21:57:06	28.06	-16.17	-999		2.4	2	ATL¡NTICO-CANARIAS 	[+] info
14971	13/03/1995	6:42:20	28.075	-16.1167	18		2	2	ATL¡NTICO-CANARIAS 	[+] info
15053	13/04/1995	18:30:33	28.02	-16.1383	17		3.5	2	ATL¡NTICO-CANARIAS 	[+] info
15078	26/04/1995	16:24:13	28.1567	-16.1733	21		2.5	2	ATL¡NTICO-CANARIAS 	[+] info
15109	10/05/1995	20:38:47	28.2567	-16.1533	-999		1.9	2	ATL¡NTICO-CANARIAS 	[+] info
15127	21/05/1995	20:54:49	28.1167	-16.1183	-999		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
15176	07/06/1995	22:09:25	28.085	-16.2167	-999		1.7	2	ATL¡NTICO-CANARIAS 	[+] info
15179	09/06/1995	9:29:28	28.1	-16.2917	10		2.4	2	ATL¡NTICO-CANARIAS 	[+] info
15260	27/07/1995	10:35:49	27.9467	-16.23	-999		2	2	ATL¡NTICO-CANARIAS 	[+] info
15265	28/07/1995	23:19:19	28.24	-16.19	-999		2.9	2	ATL¡NTICO-CANARIAS 	[+] info
15269	30/07/1995	10:18:52	28.6583	-16.8017	5		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
15293	09/08/1995	4:06:24	28.0833	-16.1683	12		1.8	2	ATL¡NTICO-CANARIAS 	[+] info
